name = who
year = 2011
yname = hgt
sex = male
distribution = LMS
citation = WHO
publication = http://www.who.int and supplement by Gerko Vink for WFA 10-19
[data]
x	L	M	S
0.8569	1	73.6429	0.0312
0.8597	1	73.6845	0.0312
0.86240000000000006	1	73.7261	0.0312
0.8652	1	73.7677	0.0312
0.8679	1	73.8091	0.0312
0.8706	1	73.8506	0.03121
0.8734	1	73.8919	0.03121
0.8761	1	73.9333	0.03121
0.8789	1	73.9745	0.03121
0.8816	1	74.0157	0.03122
0.8843	1	74.0569	0.03122
0.8871	1	74.0979	0.03122
0.8898	1	74.139	0.03122
0.8925	1	74.18	0.03123
0.8953	1	74.2209	0.03123
0.898	1	74.2618	0.03123
0.9008	1	74.3026	0.03124
0.9035	1	74.3433	0.03124
0.9062	1	74.3841	0.03124
0.909	1	74.4247	0.03124
0.9117	1	74.4653	0.03125
0.9144	1	74.5059	0.03125
0.9172	1	74.5464	0.03125
0.9199	1	74.5868	0.03126
0.9227	1	74.6272	0.03126
0.9254	1	74.6676	0.03126
0.9281	1	74.7079	0.03127
0.9309	1	74.7481	0.03127
0.9336	1	74.7883	0.03127
0.9363	1	74.8285	0.03128
0.9391	1	74.8686	0.03128
0.9418	1	74.9086	0.03128
0.9446	1	74.9486	0.03129
0.9473	1	74.9886	0.03129
0.95	1	75.0285	0.0313
0.9528	1	75.0683	0.0313
0.9555	1	75.1081	0.0313
0.9582	1	75.1479	0.03131
0.961	1	75.1876	0.03131
0.9637	1	75.2273	0.03132
0.9665	1	75.2669	0.03132
0.9692	1	75.3065	0.03132
0.9719	1	75.346	0.03133
0.9747	1	75.3855	0.03133
0.9774	1	75.425	0.03134
0.9802	1	75.4644	0.03134
0.9829	1	75.5037	0.03135
0.9856	1	75.5431	0.03135
0.9884	1	75.5824	0.03136
0.9911	1	75.6216	0.03136
0.9938	1	75.6608	0.03136
0.9966	1	75.6999	0.03137
0.9993	1	75.7391	0.03137
1.0021	1	75.7781	0.03138
1.0048	1	75.8172	0.03138
1.0075	1	75.8562	0.03139
1.0103	1	75.8951	0.03139
1.013	1	75.934	0.0314
1.0157	1	75.9729	0.0314
1.0185	1	76.0117	0.03141
1.0212	1	76.0505	0.03141
1.024	1	76.0892	0.03142
1.0267	1	76.1279	0.03142
1.0294	1	76.1665	0.03143
1.0322	1	76.2051	0.03143
1.0349	1	76.2437	0.03144
1.0376	1	76.2822	0.03144
1.0404	1	76.3207	0.03145
1.0431	1	76.3591	0.03146
1.0459	1	76.3975	0.03146
1.0486	1	76.4358	0.03147
1.0513	1	76.4741	0.03147
1.0541	1	76.5124	0.03148
1.0568	1	76.5506	0.03148
1.0595	1	76.5888	0.03149
1.0623	1	76.6269	0.03149
1.065	1	76.665	0.0315
1.0678	1	76.703	0.03151
1.0705	1	76.741	0.03151
1.0732	1	76.779	0.03152
1.076	1	76.8169	0.03152
1.0787	1	76.8548	0.03153
1.0815	1	76.8926	0.03154
1.0842	1	76.9304	0.03154
1.0869	1	76.9682	0.03155
1.0897	1	77.0059	0.03155
1.0924	1	77.0435	0.03156
1.0951	1	77.0812	0.03157
1.0979	1	77.1187	0.03157
1.1006	1	77.1563	0.03158
1.1034	1	77.1938	0.03159
1.1061	1	77.2313	0.03159
1.1088	1	77.2687	0.0316
1.1116	1	77.306	0.0316
1.1143	1	77.3434	0.03161
1.117	1	77.3807	0.03162
1.1198	1	77.4179	0.03162
1.1225	1	77.4551	0.03163
1.1253	1	77.4923	0.03164
1.128	1	77.5295	0.03164
1.1307	1	77.5665	0.03165
1.1335	1	77.6036	0.03166
1.1362	1	77.6406	0.03166
1.1389	1	77.6776	0.03167
1.1417	1	77.7145	0.03168
1.1444	1	77.7514	0.03168
1.1472	1	77.7883	0.03169
1.1499	1	77.8251	0.0317
1.1526	1	77.8618	0.0317
1.1554	1	77.8986	0.03171
1.1581	1	77.9353	0.03172
1.1608	1	77.9719	0.03172
1.1636	1	78.0085	0.03173
1.1663	1	78.0451	0.03174
1.1691	1	78.0817	0.03175
1.1718	1	78.1182	0.03175
